XX,YY
141.67,47.594
130.53,30.592
110.06,40.918
104.05,29.356
43.406,17.78
12.57,50.587
106.44,16.654
50.828,36.477
116.78,40.823
86,26.667
119.54,33.323
134.73,28.324
158.43,22.019
103.63,23.793
64.673,16.19
78.419,42.588
112.04,44.542
110.33,41
33.333,21
121.25,33.248
57.071,34.655
130.95,47.621
94.285,40.463
124.25,28.372
62.479,13.605
50.3,35.87
34.829,12.915
78.602,33.407
106.33,56
74.062,21.977
52.297,19.522
100.78,70.747
87.461,13.351
77.216,41.919
64.597,36.683
56.899,18.81
116.67,35.667
137.6,56.987
75.333,54.333
44.465,35.142
129.25,24.476
147.32,45.25
91.667,40.333
84.333,27
82,39.667
67.158,8.3255
107.2,54.994
66.828,15.458
60.263,25.372
40.86,36.913
5.984,57.984
91.559,19.355
141.37,37.802
131.63,72.433
144.95,54.932
96.333,39
98.664,11.364
124.12,13.828
23.233,25.209
52.869,28.787
111.37,33.153
125.61,34.464
149.77,33.244
57.414,28.848
67.333,38
81.384,40.581
146.62,46.244
89.997,20.234
139.33,51
76.333,51.333
144.2,39.465
124.44,17.003
69.502,66.289
137.09,56.719
71.095,44.77
103.74,63.532
94.904,17.631
107.38,39.912
129.18,66.228
51.211,37.486
66.777,19.456
64.472,26.87
70.041,16.143
82,38
111.26,38.829
103,51.048
73.967,16.328
87.779,29.666
60.16,36.072
121.57,33.058
117.18,34.89
132.42,14.013
43.171,17.927
107.98,55.733
20.204,34.099
61.753,36.543
151.45,34.94
87,26.333
121.05,23.615
88.93,17.639
90.667,38.667
109.49,25.113
129.58,34.529
109.94,47.14
113,40.333
58.428,13.668
146.87,43.415
115.48,36.412
108.29,53.207
121.93,27.663
86.471,39.818
75,39
51.657,35.697
109.2,55.598
109.67,48
120.84,37.648
112.57,17.208
77.414,19.962
153.21,41.031
129.38,69.54
122.44,20.749
12.004,50.825
89.265,26.478
132.03,70.728
128.34,32.991
70.473,66.761
96,27
123.52,34.152
134.77,15.366
133.05,66.832
84.285,28.309
131.15,66.554
70.85,67.025
70.7,44.162
64.078,19.207
63.885,37.189
26.667,20
116.1,17.473
119.11,42.24
97.427,16.15
103.45,16.57
174.67,52.333
104.93,59.878
82.577,30.571
56.799,23.754
136.49,54.03
68.516,65.775
143.58,49.914
99.48,39.645
46.142,48.821
108.86,22.152
63.812,12.32
149.66,40.149
141.83,41.938
69.11,64.609
137.94,43.826
21.988,33.062
118.67,41.333
95.903,40.09
73.59,60.471
136,46.667
151.12,40.262
74.565,38.433
117.5,12.522
143.39,39.263
138,50.667
121.33,42.667
104.67,41.341
114.55,44.068
107.57,44.748
77.909,26.438
142.78,49.23
82.86,24.402
136.67,23
77.129,40.361
130.26,72.44
102.91,38.377
119.17,41.916
78.636,50.009
119.03,23.267
74.488,18.858
84.333,26.667
121.22,24.788
73.625,58.153
89.186,37.893
58.075,31.438
62.386,8.5444
36.019,41.3
100.58,34.619
109.12,44.925
106.27,27.567
104,71.546
113.04,17.22
71.853,37.893
49.892,40.158
55.346,29.978
115.75,37.538
69.556,67.107
138.1,50.188
105.28,23.43
121.53,46.133
45.35,47.864
121.74,44.622
86.585,26.535
74.66,21.678
22.108,32.123
118.74,31.699
131.87,72.733
99.333,28
126.55,18.403
101.81,66.847
43,12.333
57.528,31.326
102.05,23.13
103.39,25.901
125.95,32.62
91.675,19.93
130.79,52.933
102.35,66.318
163.29,46.942
117.67,41.667
126.38,20.96
119.99,43.88
65.174,37.748
76.648,53.39
136.48,59.062
82,38
91.002,37.124
96,22
133.03,48.909
112.03,50.386
140.37,37.567
46.887,35.153
93.965,40.822
26.761,23.224
122.7,26.083
123.84,22.431
201.51,59.747
98.567,15.605
131.63,71.107
149.93,32.8
73.188,59.841
73.459,41.268
56.313,28.884
114,41
98.333,39
96.601,23.265
77.06,24.786
114.65,34.179
43.801,62.643
92.24,25.898
145.15,45.791
126.89,16.079
112.98,17.301
79.41,43.365
77.945,27.143
69.271,19.582
74.667,55.667
58.824,30.183
111.25,38.801
98.242,48.071
30.716,34.897
125.52,12.924
57.462,24.831
105.37,59.011
77.425,69.171
40.666,61.883
89.523,15.14
74.086,37.099
122.26,40.447
73.409,16.804
73.93,29.499
43.019,23.491
116.31,35.07
43.123,36.675
107.12,48.222
89.68,15.204
112.76,20.378
41.168,61.123
110.79,45.688
47.967,44.861
145.01,48.681
40.646,22.351
130.48,47.913
116.14,14.309
120.67,39.333
113.7,50.994
73.372,25.366
132.41,70.311
75.297,20.032
105.09,41.44
97.433,39.955
62.333,38.333
20,34
89.385,14.748
52,23
115.99,36.726
57.741,19.368
126.07,28.489
29.197,21.395
102.92,38.157
108.2,50.996
48,36.667
143.95,36.4
124.04,14.155
111.55,41.009
132.71,52.558
118.42,34.361
78.812,35.688
144.71,52.47
66.246,36.633
78.333,46.667
121.91,25.701
19.785,34.551
119.57,10.805
131.65,68.015
107.87,55.352
135.68,55.987
109.32,41.875
65.224,38.047
63.615,36.248
100.34,39.744
125.69,25.24
48.155,36.563
24.667,20.428
43.82,17.32
108.27,58.144
137.23,35.76
109.17,44.917
115.41,42.372
128.4,69.574
111.3,47.083
72.266,25.06
75.641,52.565
134,46.669
53.113,35.432
68.275,16.242
99.667,22.333
59.881,37.782
131.52,25.069
94.72,12.532
136.33,60.843
23.592,20.637
94.333,39
111.18,41.786
73.705,41.594
76.333,39
55.818,36.158
65.866,18.448
99.593,44.206
96.345,15.261
11.573,49.366
80.184,19.256
55.659,23.322
133.18,57.491
121.01,38.03
28.718,17.566
78.771,40.454
127.95,43.772
5.7388,58.132
130.33,47.275
64.323,12.136
127.12,11.584
108.96,40.949
48.573,43.658
132.82,48.591
107.64,55.183
50.137,18.756
89.182,18.149
137.67,62
119.07,30.781
79.021,46.86
110.87,28.241
116.37,11.541
133.99,25.201
78.38,24.784
74.211,59.667
124.3,45.252
101.88,67.717
110.62,44.468
92.576,40.741
29.432,33.632
114.51,44.833
57.667,23.667
89.157,15.712
117.61,12.686
73.133,41.088
116.31,13.866
94.245,22.581
73.257,40.835
90.627,37.729
86.624,26.335
110.48,41.367
86.674,12.042
62.508,24.777
103.34,14.766
55.882,30.308
59.652,36.558
146.18,39.88
131.27,24.89
43.338,17.523
86.763,33.519
79.379,18.344
112.71,20.155
74.682,60.105
31.606,35.656
145.57,36.023
72.934,20.956
108.99,17.007
137.62,51.844
72,39
116.91,42.811
86.716,38.286
67.384,39.165
88.628,21.503
105.15,41.182
78.405,35.016
100.83,43.413
71.182,63.852
94.347,22.357
98.333,22.333
130.21,53.586
35.664,12.542
119.31,41.877
73.503,41.413
53,32.333
115.64,29.966
71.234,12.317
65.088,38.35
111.18,21.942
102,22.667
137.47,51.937
123.33,33.333
10.901,44.263
74.819,35.288
71.34,63.897
74.776,30.143
43.513,36.016
107.25,15.852
101.08,68.254
135.22,50.61
103,64
109.62,50.423
107.7,53.599
43.917,34.957
72.462,63.632
71.948,44.075
76.333,55
118.51,34.232
112.65,42.489
103.73,41.736
24.96,20.875
133.14,33.619
58.498,29.23
49.656,41.274
135.13,73.565
126.87,17.415
111.3,39.95
128.67,32.333
78.277,47.785
76.667,50.667
98.161,13.925
135.15,72.573
103.69,42.379
37.283,21.082
125.55,30.072
16.924,44.114
93.328,68.516
42.212,35.523
132.94,25.599
132.99,18.874
136.94,69.536
105.29,32.968
125.66,31.813
105.12,37.916
100.31,69.911
93.456,40.428
125.3,13.071
76.49,50.919
59,23.667
40.983,61.415
125.69,30.975
93.646,15.441
123.33,31
54.217,36.75
57.293,23.899
58.11,10.973
145.65,46.184
78,46
139.67,14
137.49,47.301
124.9,12.355
130.73,21.95
55.51,31.916
125.24,13.523
89.116,25.796
52.559,31.393
104.16,13.356
78.637,42.026
93.369,36.81
73.155,41.833
72.637,64.086
78.62,21.515
72.112,38.923
107.74,59.482
144,54.667
63.333,36.667
130.08,34.797
18.442,36.484
55.682,33.443
43.256,35.649
95.545,5.0754
138.33,57
99.352,38.629
145.91,46.367
123.7,38.629
121.23,17.385
132.78,49.154
58.077,24.254
92.094,39.453
121.97,45.174
64.886,14.656
135.54,33.39
63.591,19.105
77.675,52.843
63.417,18.803
57.346,34.495
105.68,33.298
46.478,49.811
148.89,43.538
126.69,70.991
48.189,44.584
137.44,44.076
132.82,69.759
73.967,16.435
83.303,25.381
123.4,17.628
98.912,37.373
98.419,41.33
98.166,68.286
113.33,29.667
72.655,64.997
121.57,18.915
91.988,22.132
81.697,39.548
139.66,38.243
80.626,42.065
99.561,69.596
67.624,25.525
50.665,38.483
62.196,12.682
108.27,42.107
104.33,67.333
94.175,18.353
79.722,41.963
85.485,26.384
115.34,23.752
73.52,40.852
103.04,17.671
72.982,37.457
71,25
142.04,48.506
72.496,19.809
142.67,48.667
111,46.222
71.69,68.468
136.22,60.805
129.6,71.065
105.97,57.616
117.4,37.795
147.43,38.272
126.34,70.101
27.773,20.736
117.87,30.014
138.39,36.494
88.966,10.456
52.843,18.664
121.37,38.216
127.81,69.481
115.33,37.276
82,40.333
93.83,34.298
78,38
98.603,47.407
58.655,15.164
68.348,12.71
43.298,56.767
91.838,18.285
83.333,26.667
108.72,52.822
116.33,33
116.25,74.318
55.096,28.434
99.962,67.658
123.05,31.591
138,47.333
42.477,57.761
58.667,36
36.241,17.006
131.7,50.597
147.49,55.571
108.67,57
137.87,32.704
112.03,32.521
105,29
133.56,48.666
135.65,55.872
113.97,24.463
114.67,30.333
118.75,21.128
58.209,14.226
77.041,19.987
59.162,37.319
116.58,41.262
66.892,13.733
57.041,24.729
102.67,65
91.667,39.333
54.749,36.18
94.602,18.605
129.67,29.667
113.3,-5.1727
42.502,58.332
73.588,58.728
49.232,18.501
116.33,33.667
86.032,23.293
102.89,43.836
106.33,56.667
107.33,53
30.88,23.7
72.951,20.729
88.117,33.503
16.104,45.917
106.25,57.703
73.836,18.031
137.87,46.832
106.8,40.11
71.001,64.436
83,27
91.667,40.333
91.949,17.69
91.802,39.564
71.945,64.555
135.72,36.206
139.9,25.456
116.69,36.77
72.462,67.161
78.449,48.088
64.098,13.186
57.825,18.647
130.09,66.344
136.33,62
100.24,23.845
132.6,48.668
36,16.333
119.65,28.839
112.94,24.002
101.34,69.456
64.656,18.827
133.12,66.899
56.691,29.653
56.482,21.634
125.12,45.01
119.65,43.004
61.739,10.844
67.809,43.043
89.744,21.554
94.333,39
28,34.333
78.947,31.064
91.535,16.278
131.74,72.107
23.001,33.143
78.12,52.521
66.462,41.779
136.16,55.704
137.24,58.664
61.939,9.6005
101,41
107.01,54.428
80.125,42.891
91.963,11.618
103.31,65.222
13.921,52.016
141.07,36.457
35.894,17.497
149.93,39.623
119.02,30.189
140,48
110.02,38.796
55.607,28.068
102.97,16.362
100.11,69.706
130.86,72.311
12.667,51
89.333,26.667
